bubblesort;1000;5847000,00
insertions;1000;2902100,00
selectionsort;1000;1835900,00
bubblesort;5000;158329000,00
insertions;5000;69741800,00
selectionsort;5000;50606600,00
bubblesort;10000;635818900,00
insertions;10000;288525600,00
selectionsort;10000;170427800,00
bubblesort;15000;1427631500,00
insertions;15000;620833700,00
selectionsort;15000;382398700,00
bubblesort;25000;4036048400,00
insertions;25000;1720459200,00
selectionsort;25000;1058664900,00
bubblesort;50000;16105893700,00
insertions;50000;6928146400,00
selectionsort;50000;4241830800,00
bubblesort;75000;36151076800,00
insertions;75000;15775334900,00
selectionsort;75000;9694143900,00
bubblesort;100000;65537537700,00
insertions;100000;28108895300,00
selectionsort;100000;17321420300,00
bubblesort;150000;146398734500,00
insertions;150000;63342340300,00
selectionsort;150000;38873561300,00
bubblesort;250000;404848864800,00
insertions;250000;173404642100,00
selectionsort;250000;106192820300,00
