combsort;1000;302300;nsec.
quickSort;1000;60800;nsec.
heapSort;1000;327200;nsec.
combsort;5000;1956700;nsec.
quickSort;5000;327600;nsec.
heapSort;5000;1894400;nsec.
combsort;10000;4283000;nsec.
quickSort;10000;676000;nsec.
heapSort;10000;4213600;nsec.
combsort;15000;6396100;nsec.
quickSort;15000;962500;nsec.
heapSort;15000;6462000;nsec.
combsort;25000;11988100;nsec.
quickSort;25000;1693000;nsec.
heapSort;25000;11146800;nsec.
combsort;50000;33052200;nsec.
quickSort;50000;5823100;nsec.
heapSort;50000;32690300;nsec.
combsort;75000;40430200;nsec.
quickSort;75000;5677000;nsec.
heapSort;75000;46990000;nsec.
combsort;100000;52269500;nsec.
quickSort;100000;7616700;nsec.
heapSort;100000;50298500;nsec.
combsort;150000;84597800;nsec.
quickSort;150000;11488500;nsec.
heapSort;150000;77484400;nsec.
combsort;250000;144492100;nsec.
quickSort;250000;19291700;nsec.
heapSort;250000;141599100;nsec.
