bubblesort;1000;7274700
insertions;1000;2563100
selectionsort;1000;1982400
bubblesort;5000;183175600
insertions;5000;64578900
selectionsort;5000;47486800
bubblesort;10000;729986300
insertions;10000;256398300
selectionsort;10000;193474700
bubblesort;15000;1658984500
insertions;15000;575896400
selectionsort;15000;422117600
bubblesort;25000;4628021500
insertions;25000;1599506200
selectionsort;25000;1175508300
bubblesort;50000;18456441400
insertions;50000;6489039200
selectionsort;50000;4718692200
bubblesort;75000;41818138700
insertions;75000;14358793400
selectionsort;75000;10545521600
bubblesort;100000;74271461100
insertions;100000;26046766500
selectionsort;100000;19147774300
bubblesort;150000;1,68265E+11
insertions;150000;59234746200
selectionsort;150000;42841599300
bubblesort;250000;4,66411E+11
insertions;250000;1,63402E+11
selectionsort;250000;1,18762E+11
bubblesort;400000;1,18698E+12
insertions;400000;4,21156E+11
selectionsort;400000;3,6482E+11
